,sentence,target,target_type,category,polarity,opinin_Term
942,"Consequently , their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them .",burgers,explicit,FOOD STYLE_OPTIONS,negative,fell apart
943,I recommend it !,NULL,implicit,RESTAURANT GENERAL,positive,recommend
944,The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,explicit,AMBIENCE GENERAL,negative,uncomfortable
945,The food was delicious but do not come here on a empty stomach .,food,explicit,FOOD QUALITY,positive,delicious
946,"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",congee,explicit,FOOD QUALITY,positive,Try
947,"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",Ow Ley Soh,explicit,FOOD QUALITY,positive,delicious
948,"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",Ow Ley Soh,explicit,FOOD QUALITY,positive,sweet
949,I lOVE THIS PLACE !,PLACE,explicit,RESTAURANT GENERAL,positive,lOVE
950,"Volare virgins or weekly regulars , everyone gets treated the same and you ca n't ask for more than that when the service is this friendly .",service,explicit,SERVICE GENERAL,positive,friendly
951,I absolutely Loved this place .,place,explicit,RESTAURANT GENERAL,positive,Loved
952,Saul is the best restaurant on Smith Street and in Brooklyn .,Saul,explicit,RESTAURANT GENERAL,positive,best
953,Fish was overdone .,Fish,explicit,FOOD QUALITY,negative,overdone
954,Excellent spot for holiday get togethers with co-workers or friends that you have n't seen in a while .,spot,explicit,RESTAURANT MISCELLANEOUS,positive,Excellent
955,"I have tried to make reservations , but both times , the hostess did n't have my name .",hostess,explicit,SERVICE GENERAL,negative,did n't have my name
956,"I also ordered the Change Mojito , which was out of this world .",Change Mojito,explicit,DRINKS QUALITY,positive,out of this world
957,But too far east !,NULL,implicit,LOCATION GENERAL,negative,too far
958,"We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .",back patio,explicit,AMBIENCE GENERAL,positive,worth
959,"We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .",back patio,explicit,AMBIENCE GENERAL,positive,cool
960,"We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .",music,explicit,AMBIENCE GENERAL,positive,well
961,"There 's nice and quiet , small but enough for 6 ( or more ) .",NULL,implicit,AMBIENCE GENERAL,positive,quiet
962,"There 's nice and quiet , small but enough for 6 ( or more ) .",NULL,implicit,AMBIENCE GENERAL,positive,nice
963,I 've lived in NY for 5 years and this place has it all .,place,explicit,RESTAURANT GENERAL,positive,has it all
964,The Yellowtail was particularly good as well .,Yellowtail,explicit,FOOD QUALITY,positive,good
965,The drinks are always welll made and wine selection is fairly priced .,drinks,explicit,DRINKS QUALITY,positive,welll made
966,The drinks are always welll made and wine selection is fairly priced .,wine selection,explicit,DRINKS PRICES,positive,fairly priced
967,Ingredients are organic which is a real plus for me .,Ingredients,explicit,FOOD QUALITY,positive,organic
968,Ingredients are organic which is a real plus for me .,Ingredients,explicit,FOOD QUALITY,positive,plus
969,Dessert is a joke ... dont bother,Dessert,explicit,FOOD QUALITY,negative,joke
970,Cheese plate is a varied delight and great bargain at $ 10 .,Cheese plate,explicit,FOOD QUALITY,positive,varied delight
971,Cheese plate is a varied delight and great bargain at $ 10 .,Cheese plate,explicit,FOOD STYLE_OPTIONS,positive,varied delight
972,Cheese plate is a varied delight and great bargain at $ 10 .,Cheese plate,explicit,FOOD PRICES,positive,great bargain
973,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,pleasant
974,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,fun
975,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .",wait staff,explicit,SERVICE GENERAL,positive,gorgeous
976,"Great service , great food .",service,explicit,SERVICE GENERAL,positive,Great
977,"Great service , great food .",food,explicit,FOOD QUALITY,positive,great
978,"We concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake,explicit,FOOD QUALITY,positive,delicious
979,You will find yourself returning quite often .,NULL,implicit,RESTAURANT GENERAL,positive,returning quite often
980,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,explicit,FOOD QUALITY,positive,particular
981,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",ceviche mix ( special ),explicit,FOOD QUALITY,positive,please
982,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",crab dumplings,explicit,FOOD QUALITY,positive,please
983,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",assorted sashimi,explicit,FOOD QUALITY,positive,please
984,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,explicit,FOOD QUALITY,positive,particular
985,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",rolls,explicit,FOOD QUALITY,positive,please
986,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",two types of sake,explicit,DRINKS QUALITY,positive,please
987,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",banana tempura,explicit,FOOD QUALITY,positive,please
988,It 's a small cute restaurant .,restaurant,explicit,RESTAURANT GENERAL,positive,small cute
989,The staff offers impeccable service .,staff,explicit,SERVICE GENERAL,positive,impeccable
990,Drawbacks : service is slow and they do n't toast !,service,explicit,SERVICE GENERAL,negative,slow
991,"Our teenage kids love it , too .",NULL,implicit,RESTAURANT GENERAL,positive,love
992,THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,Pizza,explicit,FOOD QUALITY,positive,excellent
993,THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,wine,explicit,DRINKS QUALITY,positive,excellent
994,THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,service,explicit,SERVICE GENERAL,positive,excellent
995,"The wait staff is very freindly , they make it feel like you 're eating in a freindly little european town .",wait staff,explicit,SERVICE GENERAL,positive,freindly
996,Amazing !,NULL,implicit,FOOD QUALITY,positive,Amazing
997,They have authentic Indian at amazin prices .,Indian,explicit,FOOD QUALITY,positive,authentic
998,They have authentic Indian at amazin prices .,Indian,explicit,FOOD PRICES,positive,authentic
999,You ca n't go wrong here .,NULL,implicit,RESTAURANT GENERAL,positive,ca n't go wrong
1000,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",martini,explicit,DRINKS QUALITY,positive,delish
1001,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",martini,explicit,DRINKS STYLE_OPTIONS,positive,delish
1002,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",martini,explicit,DRINKS PRICES,positive,delish
1003,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",Vanilla Shanty,explicit,DRINKS QUALITY,positive,recommend
1004,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",setting,explicit,AMBIENCE GENERAL,positive,homey
1005,"You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",music,explicit,AMBIENCE GENERAL,positive,great
1006,"Judging from previous posts this used to be a good place , but not any longer .",place,explicit,RESTAURANT GENERAL,negative,used to be a good
1007,"Even though its good seafood , the prices are too high .",seafood,explicit,FOOD QUALITY,positive,good
1008,"Even though its good seafood , the prices are too high .",NULL,implicit,RESTAURANT PRICES,negative,high
1009,I will definetly be going back .,NULL,implicit,RESTAURANT GENERAL,positive,going back
1010,Worth visiting the 1st Ave spot because it is the original store .,1st Ave spot,explicit,RESTAURANT MISCELLANEOUS,positive,Worth visiting
1011,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,cute
1012,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,artsy
1013,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,interesting
